S,S,H,WO,WO,FO,H,S,S,S,P,P,W,S,S,H,F,WO,S,S
S,WO,H,WO,FO,FO,W,H,H,S,WO,H,S,W,H,P,WO,WO,H,S
WO,WO,P,H,P,F,W,W,GO,H,P,WO,F,W,GO,P,P,P,WO,WO
WO,P,P,P,P,P,P,H,P,R1,R1,P,F,F,P,P,P,P,WO,H
H,P,P,P,P,R2,H,P,F,F,R,R,R,R,R,P,P,P,H,S
H,W,GO,P,WO,R2,R1,WO,P,F,P,P,P,P,F,FO,FO,P,WO,F
S,W,W,WO,WO,H,R2,WO,P,FO,FO,WO,WO,P,H,H,FO,R,WO,F
S,P,F,P,F,P,R2,R1,WO,W,FO,H,WO,WO,P,H,R,R,WO,WO
P,P,P,FO,R,P,WO,WO,H,H,S,H,H,WO,WO,WO,R,H,H,WO
H,H,FO,R,R,WO,H,H,H,S,S,S,S,GO,F,F,P,WO,S,S
S,S,H,R,GO,W,S,S,S,S,S,H,WO,P,P,F,W,WO,WO,WO
WO,WO,FO,R,F,W,W,H,H,S,H,WO,WO,R,R,R,H,W,W,H
S,WO,WO,R,H,H,W,WO,H,S,H,WO,F,FO,H,R,R,F,F,P
H,WO,H,R,R,FO,FO,P,WO,S,F,F,FO,P,H,WO,R,FO,H,S
H,WO,WO,P,R,FO,F,F,R,R,R,P,P,F,P,P,R,FO,H,S
S,GO,P,P,R,P,H,F,H,P,R,R,R,H,P,P,P,P,WO,S
S,P,P,P,P,P,FO,P,P,F,GO,P,R,R,WO,P,P,P,WO,WO
WO,WO,P,P,P,H,FO,H,WO,F,WO,H,P,WO,GO,P,P,WO,WO,H
S,WO,WO,P,F,FO,WO,WO,S,H,WO,P,P,WO,S,H,H,WO,H,S
S,S,H,WO,F,F,H,H,S,S,F,W,S,S,P,F,F,S,S,S
