M2,M,H,P,P,H,H,M,M2,M2,P,P,F3,M,M2,H,F4,P,M,M2
M,P,H,P,H,H,W4,H,H,M,P,H,M,W4,H,P,P,P,H,M
P,P,P,H,P,F4,WC3,W2,P,H,P,P,F3,W3,P,P,P,P,P,P
P,P,P,P,P,P,P,H,P,R1,R1,RC1,F4,F3,P,P,P,P,P,H
H,P,P,P,P,R2,H,P,F3,F4,H,RC2,R1,R1,R1,P,P,P,H,M
H,W3,P,P,P,RC2,RC1,P,P,F4,P,P,P,P,F3,H,H,P,P,F3
M2,WC3,W1,P,P,H,R2,P,P,H,H,P,P,P,H,H,H,R2,P,F4
M2,P,F4,P,F3,P,RC2,R1,P,P,H,H,P,P,P,H,RC4,RC3,P,P
P,P,P,H,R2,P,P,P,H,H,M,H,H,P,P,P,R2,H,H,P
H,H,H,RC4,RC3,P,H,H,H,M,M2,M,M,P,F3,F3,P,P,M,M
M,M,H,R2,P,W3,M,M,M2,M2,M2,H,P,P,P,F4,W3,P,P,P
P,P,H,R2,F4,WC3,WC4,H,H,M2,H,P,P,R1,R1,RC1,WC3,W1,W2,H
M,P,P,R2,H,H,W4,P,H,M2,H,P,F4,H,H,RC2,RC1,F4,F3,P
H,P,H,RC2,RC1,H,H,P,P,M,F3,F4,H,P,H,P,R2,H,H,M2
H,P,P,P,R2,H,F4,F3,R1,R1,RC1,P,P,F3,P,P,R2,H,H,M2
M,P,P,P,R2,P,H,F4,H,P,RC2,R1,RC1,H,P,P,P,P,P,M
M,P,P,P,R2,P,H,P,P,F3,P,P,RC2,R1,P,P,P,P,P,P
P,P,P,P,P,H,H,H,P,F4,P,H,P,P,P,P,P,P,P,H
M,P,P,P,F3,H,P,P,M,H,P,P,P,P,M,H,H,P,H,M
M2,M,H,P,F4,F4,H,H,M,M,F4,W,M,M2,P,F4,F3,M,M,M
