,,,WO,WO,FO,,,,,,,,,,,,WO,,
,WO,,WO,FO,FO,,,,,WO,,,,,,WO,WO,,
WO,WO,,,,,,,GO,,,WO,,,GO,,,,WO,WO
WO,,,,,,,,,,,,,,,,,,WO,
,,,,,,,,,,,,,,,,,,,
,,GO,,WO,,,WO,,,,,,,,FO,FO,,WO,
,,W,WO,WO,,,WO,,FO,FO,WO,WO,,,,FO,,WO,
,,,,,,,,WO,WO,FO,,WO,WO,,,,,WO,WO
,,,FO,,,WO,WO,,,,,,WO,WO,WO,,,,WO
,,FO,,,WO,,,,,,,,GO,,,,WO,,
,,,,GO,,,,,,,,WO,,,,,WO,WO,WO
WO,WO,FO,,,,,,,,,WO,WO,,,,,,,
,WO,WO,,,,,WO,,,,WO,,FO,,,,,,
,WO,,,,FO,FO,,WO,,,,FO,,,WO,,FO,,
,WO,WO,,,FO,,,,,,,,,,,,FO,,
,GO,,,,,,,,,,,,,,,,,WO,
,,,,,,FO,,,,GO,,,,WO,,,,WO,WO
WO,WO,,,,,FO,,WO,,WO,,,WO,GO,,,WO,WO,
,WO,WO,,,FO,WO,WO,,,WO,,,WO,,,,WO,,
,,,WO,,,,,,,,,,,,,,,,
